type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,wastage_percentage,wastage_category
meat,310,corporate,450,refrigerated,regular,all seasons,buffet,urban,low,25,5.56,low
meat,400,birthday,500,room temperature,regular,winter,buffet,suburban,high,40,8.0,low
vegetables,302,birthday,371,refrigerated,regular,summer,buffet,suburban,low,27,7.28,low
meat,491,birthday,497,refrigerated,regular,all seasons,finger food,rural,high,32,6.44,low
meat,300,corporate,400,refrigerated,regular,winter,finger food,urban,moderate,25,6.25,low
meat,302,birthday,371,refrigerated,regular,summer,buffet,suburban,low,27,7.28,low
meat,240,wedding,450,refrigerated,regular,winter,sit-down dinner,urban,low,20,4.44,low
meat,300,wedding,400,refrigerated,regular,summer,finger food,rural,moderate,25,6.25,low
fruits,320,corporate,400,refrigerated,regular,all seasons,buffet,urban,high,45,11.25,medium
meat,400,corporate,500,refrigerated,occasional,winter,finger food,urban,high,40,8.0,low
fruits,320,wedding,400,room temperature,regular,summer,buffet,rural,high,35,8.75,low
meat,302,birthday,371,room temperature,regular,winter,buffet,suburban,low,27,7.28,low
meat,400,wedding,500,refrigerated,occasional,summer,sit-down dinner,urban,low,25,5.0,low
meat,250,social gathering,350,room temperature,regular,winter,buffet,urban,low,10,2.86,low
fruits,267,corporate,393,refrigerated,regular,winter,sit-down dinner,urban,low,24,6.11,low
meat,350,wedding,450,refrigerated,regular,winter,sit-down dinner,suburban,high,40,8.89,low
fruits,300,birthday,400,room temperature,regular,winter,finger food,suburban,low,20,5.0,low
fruits,380,wedding,500,room temperature,regular,winter,sit-down dinner,rural,high,35,7.0,low
fruits,300,birthday,450,refrigerated,regular,all seasons,finger food,suburban,low,25,5.56,low
meat,220,social gathering,300,room temperature,regular,winter,buffet,suburban,low,10,3.33,low
meat,220,corporate,450,room temperature,regular,winter,finger food,urban,moderate,30,6.67,low
vegetables,220,corporate,300,refrigerated,regular,winter,finger food,suburban,low,15,5.0,low
meat,350,corporate,450,refrigerated,regular,summer,sit-down dinner,urban,high,35,7.78,low
fruits,400,wedding,500,refrigerated,regular,winter,sit-down dinner,urban,high,40,8.0,low
meat,320,wedding,400,refrigerated,regular,winter,finger food,suburban,moderate,25,6.25,low
fruits,400,wedding,500,refrigerated,regular,all seasons,finger food,urban,high,40,8.0,low
baked goods,320,corporate,400,room temperature,regular,summer,buffet,rural,high,35,8.75,low
meat,400,birthday,500,room temperature,regular,winter,finger food,suburban,high,40,8.0,low
meat,208,wedding,282,refrigerated,regular,summer,sit-down dinner,rural,moderate,22,7.8,low
meat,280,birthday,350,room temperature,regular,winter,finger food,rural,moderate,20,5.71,low
meat,380,corporate,400,refrigerated,regular,winter,finger food,suburban,moderate,25,6.25,low
meat,438,corporate,493,refrigerated,regular,summer,sit-down dinner,urban,moderate,35,7.1,low
fruits,350,corporate,450,refrigerated,regular,all seasons,finger food,suburban,low,20,4.44,low
meat,220,corporate,300,refrigerated,occasional,winter,finger food,suburban,moderate,15,5.0,low
fruits,220,corporate,300,room temperature,regular,winter,finger food,rural,moderate,15,5.0,low
vegetables,280,social gathering,350,room temperature,regular,summer,buffet,urban,low,20,5.71,low
meat,220,corporate,300,room temperature,regular,winter,finger food,suburban,moderate,15,5.0,low
fruits,491,wedding,497,room temperature,regular,all seasons,finger food,urban,high,32,6.44,low
fruits,400,birthday,500,room temperature,regular,winter,sit-down dinner,urban,high,50,10.0,medium
meat,250,birthday,350,refrigerated,regular,winter,sit-down dinner,suburban,moderate,20,5.71,low
meat,300,corporate,400,room temperature,regular,winter,sit-down dinner,suburban,high,35,8.75,low
dairy products,439,corporate,459,room temperature,regular,summer,buffet,suburban,low,39,8.5,low
fruits,240,corporate,450,room temperature,regular,winter,sit-down dinner,suburban,low,20,4.44,low
baked goods,300,birthday,400,room temperature,regular,summer,finger food,suburban,low,20,5.0,low
fruits,280,corporate,350,refrigerated,occasional,summer,finger food,suburban,moderate,20,5.71,low
fruits,350,wedding,450,room temperature,regular,all seasons,sit-down dinner,urban,high,40,8.89,low
meat,400,social gathering,450,refrigerated,regular,all seasons,buffet,urban,moderate,30,6.67,low
fruits,434,birthday,495,room temperature,regular,summer,sit-down dinner,suburban,low,36,7.27,low
fruits,300,corporate,400,refrigerated,regular,all seasons,finger food,rural,moderate,15,3.75,low
fruits,290,social gathering,374,room temperature,regular,winter,finger food,urban,low,27,7.22,low
dairy products,300,birthday,400,room temperature,regular,winter,finger food,urban,low,20,5.0,low
meat,320,social gathering,400,refrigerated,regular,summer,sit-down dinner,suburban,high,40,10.0,medium
baked goods,320,birthday,400,room temperature,regular,summer,finger food,urban,moderate,20,5.0,low
meat,400,social gathering,500,refrigerated,regular,summer,sit-down dinner,suburban,high,45,9.0,low
vegetables,280,birthday,350,refrigerated,regular,all seasons,finger food,rural,moderate,20,5.71,low
baked goods,380,corporate,500,room temperature,regular,winter,sit-down dinner,urban,high,35,7.0,low
meat,380,birthday,480,refrigerated,regular,summer,buffet,suburban,moderate,30,6.25,low
meat,400,wedding,500,refrigerated,regular,summer,sit-down dinner,urban,high,50,10.0,medium
meat,320,birthday,400,refrigerated,regular,all seasons,buffet,suburban,high,30,7.5,low
vegetables,280,wedding,350,refrigerated,regular,winter,finger food,urban,low,15,4.29,low
vegetables,320,birthday,400,refrigerated,regular,summer,sit-down dinner,suburban,high,40,10.0,medium
